threshold,precision,recall,f1,signals
0.33,0.09703808180535967,0.555735056542811,0.16522574447646493,3545
0.34021739130434786,0.09851899549259498,0.49434571890145396,0.1642953020134228,3106
0.35043478260869565,0.094553706505295,0.40387722132471726,0.15323322096230463,2644
0.3606521739130435,0.09395973154362416,0.3392568659127625,0.14716187806587247,2235
0.37086956521739134,0.09528907922912205,0.2875605815831987,0.14314435062324085,1868
0.3810869565217392,0.09274193548387097,0.22294022617124395,0.13099193165638348,1488
0.391304347826087,0.08838383838383838,0.16962843295638125,0.11621472053126729,1188
0.4015217391304348,0.08472686733556299,0.12277867528271405,0.10026385224274408,897
0.4117391304347826,0.08223201174743025,0.09046849757673667,0.08615384615384615,681
0.42195652173913045,0.06854838709677419,0.05492730210016155,0.060986547085201785,496
0.4321739130434783,0.04878048780487805,0.025848142164781908,0.0337909186906019,328
0.44239130434782614,0.03669724770642202,0.012924071082390954,0.01911589008363202,218
0.45260869565217393,0.02112676056338028,0.004846526655896607,0.00788436268068331,142
0.4628260869565218,0.011111111111111112,0.0016155088852988692,0.002820874471086037,90
0.47304347826086957,0.0,0.0,0.0,67
0.4832608695652174,0.0,0.0,0.0,53
0.49347826086956526,0.0,0.0,0.0,29
0.5036956521739131,0.0,0.0,0.0,16
0.513913043478261,0.0,0.0,0.0,9
0.5241304347826088,0.0,0.0,0.0,5
0.5343478260869565,0.0,0.0,0.0,2
0.5445652173913044,0.0,0.0,0.0,0
0.5547826086956522,0.0,0.0,0.0,0
0.5650000000000001,0.0,0.0,0.0,0
0.5752173913043479,0.0,0.0,0.0,0
0.5854347826086956,0.0,0.0,0.0,0
0.5956521739130436,0.0,0.0,0.0,0
0.6058695652173913,0.0,0.0,0.0,0
0.6160869565217392,0.0,0.0,0.0,0
0.626304347826087,0.0,0.0,0.0,0
0.6365217391304349,0.0,0.0,0.0,0
0.6467391304347827,0.0,0.0,0.0,0
0.6569565217391304,0.0,0.0,0.0,0
0.6671739130434784,0.0,0.0,0.0,0
0.6773913043478261,0.0,0.0,0.0,0
0.687608695652174,0.0,0.0,0.0,0
0.6978260869565218,0.0,0.0,0.0,0
0.7080434782608696,0.0,0.0,0.0,0
0.7182608695652175,0.0,0.0,0.0,0
0.7284782608695652,0.0,0.0,0.0,0
0.7386956521739132,0.0,0.0,0.0,0
0.7489130434782609,0.0,0.0,0.0,0
0.7591304347826088,0.0,0.0,0.0,0
0.7693478260869566,0.0,0.0,0.0,0
0.7795652173913044,0.0,0.0,0.0,0
0.7897826086956523,0.0,0.0,0.0,0
0.8,0.0,0.0,0.0,0
