forward_periods,threshold_pct,min_profit_pct,min_risk_reward_ratio,max_hold_periods,total_samples,long_count,short_count,hold_count,long_pct,short_pct,hold_pct,signal_pct,balance_ratio,symbol,config_name
4,0.5,0.5,2.0,48,4313,864,907,2542,20.032460004637144,21.02944586134941,58.938094134013454,41.06190586598655,0.9525909592061742,BTCUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,922,955,2437,21.372276309689383,22.13722763096894,56.49049605934168,43.50950394065832,0.9654450261780104,BTCUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,991,1005,2319,22.966396292004635,23.290845886442643,53.74275782155272,46.25724217844728,0.9860696517412936,BTCUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,901,977,2433,20.900023196474134,22.66295523080492,56.437021572720944,43.562978427279056,0.9222108495394064,BTCUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
4,0.5,0.5,2.0,48,4313,1169,1190,1954,27.10410387201484,27.59100394157199,45.30489218641317,54.69510781358683,0.9823529411764705,ETHUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,1248,1282,1784,28.929068150208625,29.717199814557254,41.35373203523412,58.646267964765876,0.9734789391575663,ETHUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,1308,1316,1691,30.31286210892236,30.498261877172656,39.18887601390498,60.81112398609502,0.993920972644377,ETHUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,1206,1259,1846,27.97494780793319,29.20436093713755,42.82069125492925,57.17930874507074,0.9579030976965845,ETHUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
4,0.5,0.5,2.0,48,4313,1386,1413,1514,32.13540459077208,32.761418965916995,35.10317644331092,64.89682355668907,0.9808917197452229,SOLUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,1458,1465,1391,33.79694019471488,33.95920259619842,32.2438572090867,67.75614279091332,0.995221843003413,SOLUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,1514,1491,1310,35.08690614136732,34.55388180764774,30.359212050984937,69.64078794901506,1.0154258886653253,SOLUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,1400,1456,1455,32.47506379030388,33.77406634191603,33.7508698677801,66.2491301322199,0.9615384615384616,SOLUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
4,0.5,0.5,2.0,48,4313,1351,1487,1475,31.323904474843495,34.47716206816601,34.198933456990495,65.8010665430095,0.9085406859448554,ADAUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,1398,1524,1392,32.40611961057024,35.32684283727399,32.26703755215577,67.73296244784423,0.9173228346456693,ADAUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,1471,1596,1248,34.09038238702202,36.98725376593279,28.92236384704519,71.07763615295481,0.9216791979949874,ADAUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,1359,1541,1411,31.524008350730686,35.7457666434702,32.73022500579912,67.26977499420089,0.881894873458793,ADAUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
4,0.5,0.5,2.0,48,4313,1170,1123,2020,27.127289589612797,26.037560862508695,46.83514954787851,53.16485045212149,1.0418521816562778,BNBUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,1220,1152,1942,28.280018544274455,26.70375521557719,45.016226240148356,54.98377375985165,1.0590277777777777,BNBUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,1293,1219,1803,29.96523754345307,28.25028968713789,41.784472769409035,58.21552723059096,1.0607054963084495,BNBUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,1211,1170,1930,28.09093017861285,27.139874739039666,44.76919508234749,55.23080491765252,1.0350427350427351,BNBUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
4,0.5,0.5,2.0,48,4313,1209,1361,1743,28.031532575933227,31.555761650823094,40.41270577324369,59.58729422675631,0.8883174136664217,XRPUSDT,"Вариант 1: Длинные периоды, высокие пороги"
3,0.4,0.4,1.8,36,4314,1282,1421,1611,29.717199814557254,32.93926750115902,37.34353268428372,62.65646731571627,0.9021815622800844,XRPUSDT,"Вариант 2: Средние периоды, средние пороги"
2,0.3,0.3,1.5,24,4315,1346,1441,1528,31.19351100811124,33.39513325608343,35.41135573580533,64.58864426419467,0.9340735600277585,XRPUSDT,"Вариант 3: Короткие периоды, низкие пороги (текущий)"
6,0.6,0.6,2.5,72,4311,1224,1430,1657,28.39248434237996,33.17095801438181,38.43655764323823,61.563442356761776,0.855944055944056,XRPUSDT,"Вариант 4: Очень длинные периоды, высокие пороги"
