model_1h,model_15m,total_pnl_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,total_trades,predicted_pnl_pct,predicted_score,composite_score
quad_ensemble_ETHUSDT_60_1h,quad_ensemble_ETHUSDT_15_15m,166.85289318587405,0.7054263565891473,4.761647968383007,12.524323149926188,3.1543871243176405,129,79.74340999833422,60.064427646197686,92.87784497288382
ensemble_ETHUSDT_60_1h,quad_ensemble_ETHUSDT_15_15m,166.63567391315848,0.6762589928057554,4.147127270559169,11.273705517220854,3.1748212647081395,139,76.23855818751352,57.54547069210241,90.72844506594102
xgb_ETHUSDT_60_1h,quad_ensemble_ETHUSDT_15_15m,162.45997253653718,0.6814814814814816,4.16117234217264,11.360927786199174,3.1985608766810456,135,78.05814600520742,58.80040379790226,89.20814888582963
triple_ensemble_ETHUSDT_60_1h,rf_ETHUSDT_15_15m,161.34183526669494,0.6642857142857143,4.0364167597106935,10.995275877999452,2.635340571492719,140,77.61559536394327,57.782282364300514,88.09433708741356
ensemble_ETHUSDT_60_1h,rf_ETHUSDT_15_15m,159.36511731681367,0.6618705035971223,4.016140280033187,10.935328415720136,2.5774082416638215,139,77.35131993666002,57.858327781830795,87.20280324187831
quad_ensemble_ETHUSDT_60_1h,xgb_ETHUSDT_15_15m,157.98611993441324,0.6666666666666665,4.592349676131282,11.796975099885735,2.757883076070748,114,74.8240597973558,58.014801437899166,88.07187567933835
quad_ensemble_ETHUSDT_60_1h,triple_ensemble_ETHUSDT_15_15m,157.41352782373804,0.6752136752136753,4.472376055076397,11.736181863042546,3.3264927127302597,117,79.09185009361963,59.88363239588019,87.76167311653002
quad_ensemble_ETHUSDT_60_1h,rf_ETHUSDT_15_15m,156.78459729435127,0.6666666666666665,4.072607914638642,11.077827612031498,2.6259328217210594,135,80.85617174748073,60.37728473592607,86.40795360275742
xgb_ETHUSDT_60_1h,triple_ensemble_ETHUSDT_15_15m,154.9801866487824,0.6583333333333333,4.1443905209336185,11.089181353169725,3.279176975728007,120,77.40658610049283,58.619608547584775,85.6653586386808
xgb_ETHUSDT_60_1h,rf_ETHUSDT_15_15m,149.90151968000959,0.6496350364963503,3.70663553044912,10.281617566304194,2.6580606428772287,137,79.17090775435395,59.113260887630645,82.42290317608992
rf_ETHUSDT_60_1h,rf_ETHUSDT_15_15m,142.3824992561074,0.6323529411764706,3.4581611672962667,9.664999510609299,2.7120144527134,136,88.33619266830587,67.22665872466533,78.44938076268677
rf_ETHUSDT_60_1h,ensemble_ETHUSDT_15_15m,142.0277791501423,0.6230769230769231,3.432246487474683,9.469263526318729,2.7951477134558953,130,77.52071049443106,62.55287149501173,78.0309958018085
rf_ETHUSDT_60_1h,quad_ensemble_ETHUSDT_15_15m,140.5159699337943,0.6187050359712231,3.2179857388297637,9.011769286289098,3.390185869661703,139,87.22343091915936,66.91380163493693,76.81881402785953
rf_ETHUSDT_60_1h,triple_ensemble_ETHUSDT_15_15m,136.16045388292798,0.6178861788617886,3.399511119231998,9.347314962995165,3.5339802966342546,123,86.57187101444477,66.73300638461944,75.49039036147
rf_ETHUSDT_60_1h,xgb_ETHUSDT_15_15m,133.86049768788297,0.6016949152542372,3.390771495274505,9.223428074819061,2.9252454944697988,118,82.30408071818094,64.86417542663841,74.20432598575076
