model_1h,model_15m,total_pnl_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,total_trades,predicted_pnl_pct,predicted_score,composite_score
quad_ensemble_BNBUSDT_60_1h,xgb_BNBUSDT_15_15m,99.92739689746722,0.6582278481012658,3.9787020462178133,10.621521579485558,5.248140052793247,79,65.25980328496436,54.373089180881045,63.21722412934495
xgb_BNBUSDT_60_1h,ensemble_BNBUSDT_15_15m,96.41151639977488,0.6506024096385542,3.717517802475537,10.263975915529612,2.7437972206973043,83,54.38329873248709,49.822004353979466,61.06448554073803
triple_ensemble_BNBUSDT_60_1h,ensemble_BNBUSDT_15_15m,96.26356999334197,0.6463414634146342,3.8101393100137106,10.427921419944452,2.7462533037747505,82,56.92539807330874,52.244537509402576,61.138120169645795
ensemble_BNBUSDT_60_1h,xgb_BNBUSDT_15_15m,92.80988315799141,0.6533333333333333,3.865895936721074,10.477304596310752,6.345755770880008,75,63.6215681000458,53.86364024909511,60.01787272256753
xgb_BNBUSDT_60_1h,xgb_BNBUSDT_15_15m,91.0581853556375,0.6493506493506493,3.652551366086606,9.968186262504583,6.248554591957415,77,65.67403243336435,55.406813693295426,58.70902711394212
triple_ensemble_BNBUSDT_60_1h,xgb_BNBUSDT_15_15m,89.02116982307163,0.6363636363636364,3.5553089212130415,9.756303612071926,6.4353795262236115,77,68.216131774186,57.82934684871854,57.39761922134185
rf_BNBUSDT_60_1h,xgb_BNBUSDT_15_15m,84.47359498833478,0.6216216216216216,3.4227642024800278,9.390751776210779,4.56891888727512,74,62.87147167112351,54.19771331806601,54.94554918796856
triple_ensemble_BNBUSDT_60_1h,quad_ensemble_BNBUSDT_15_15m,75.919467643725,0.6025641025641025,3.093163934788857,8.712297400710321,3.2028067759321917,78,56.95024732314086,52.60156313168903,50.34785645849183
quad_ensemble_BNBUSDT_60_1h,quad_ensemble_BNBUSDT_15_15m,74.75553236823316,0.5925925925925926,2.933002658931042,8.255241186728755,3.4142355409867924,81,53.99391883391923,49.14530546385154,49.27111835435294
xgb_BNBUSDT_60_1h,quad_ensemble_BNBUSDT_15_15m,69.91696350042707,0.5974025974025974,2.9069722472817174,8.091760503903469,3.3350168057213114,77,54.40814798231921,50.17902997626592,47.3471339435669
