model_1h,model_15m,total_pnl_pct,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,total_trades,predicted_pnl_pct,predicted_score,composite_score
triple_ensemble_XRPUSDT_60_1h,rf_XRPUSDT_15_15m,171.939294051923,0.6754966887417219,3.7264173498727446,10.11944088943653,3.1467359822283396,151,84.08475709132394,60.77641970373301,91.76237427323645
quad_ensemble_XRPUSDT_60_1h,ensemble_XRPUSDT_15_15m,168.11760732994878,0.6818181818181818,4.042799115520888,10.69695479894228,3.025323564118613,132,76.42847636564485,57.41137153366877,91.10839575917339
xgb_XRPUSDT_60_1h,rf_XRPUSDT_15_15m,166.41438654805063,0.6644736842105263,3.4856942657637693,9.581606863103993,3.1422272519187744,152,82.23686778785465,59.02781366978271,88.74293820757912
ensemble_XRPUSDT_60_1h,rf_XRPUSDT_15_15m,165.85844145161423,0.6622516556291391,3.482666688376451,9.573540525040983,2.801164445489074,151,82.24301745597056,59.249843298315746,88.46845117498958
xgb_XRPUSDT_60_1h,ensemble_XRPUSDT_15_15m,163.8772934598636,0.6618705035971223,3.5674441538151505,9.731334621538084,3.8445144954714445,139,74.36060265121809,55.421237748697216,87.86948268782582
triple_ensemble_XRPUSDT_60_1h,ensemble_XRPUSDT_15_15m,161.47880453752157,0.6617647058823529,3.604418466361249,9.783061540029149,3.885617844040866,136,76.20849195468737,57.16984378264752,86.99226517338401
quad_ensemble_XRPUSDT_60_1h,rf_XRPUSDT_15_15m,156.1937379436472,0.6620689655172414,3.3943488150688337,9.31330137120332,3.210181110066496,145,84.30474150228143,61.017947454754264,84.37023239218203
ensemble_XRPUSDT_60_1h,ensemble_XRPUSDT_15_15m,154.86308940365015,0.644927536231884,3.350264658383289,9.196211052787337,4.379821686739838,138,74.36675231933398,55.64326737723025,83.38355801342179
ensemble_XRPUSDT_60_1h,quad_ensemble_XRPUSDT_15_15m,154.68031549341146,0.64,3.1595572115219297,8.809533025054002,4.580260442032179,150,74.43486865120111,55.90206123303477,82.75314722541924
xgb_XRPUSDT_60_1h,quad_ensemble_XRPUSDT_15_15m,154.59839025356305,0.6381578947368421,3.11664072017673,8.679430831940092,4.570535481271742,152,74.4287189830852,55.680031604501735,82.57168160290354
quad_ensemble_XRPUSDT_60_1h,quad_ensemble_XRPUSDT_15_15m,153.33665633488798,0.6524822695035462,3.3758095368429792,9.336754903038134,3.835971256056507,141,76.49659269751199,57.6701653894733,83.0032779783197
triple_ensemble_XRPUSDT_60_1h,quad_ensemble_XRPUSDT_15_15m,153.33475562318972,0.6394557823129252,3.2315988767344885,8.94844729167875,4.613643422961108,147,76.27660828655449,57.42863763845203,82.37590510733912
rf_XRPUSDT_60_1h,rf_XRPUSDT_15_15m,148.3273151248373,0.6408450704225352,3.246903165378396,8.948403153052526,3.278679793663607,142,82.91765520763988,60.66175040781978,80.43131441975292
rf_XRPUSDT_60_1h,quad_ensemble_XRPUSDT_15_15m,143.2525844769641,0.6312056737588653,3.1466621139516997,8.697089718032512,2.8986392254915807,141,75.10950640287044,57.31396834253881,77.95788943747284
rf_XRPUSDT_60_1h,ensemble_XRPUSDT_15_15m,136.20425099610313,0.6106870229007634,3.0957732718901045,8.453357621456028,2.519263586611979,131,75.0413900710033,57.05517448673429,74.57765892452794
